Country,State,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Hospitalized,Vaccination_Status
Brazil,State_A,43831,41240,56133,158,41424,123788,10288,No
UK,State_B,43832,83807,61268,1977,44002,98239,17709,No
Italy,State_B,43833,33434,38243,956,53744,27928,17543,Yes
UK,State_A,43834,69724,57384,2071,4795,281466,4650,
UK,State_C,43835,75697,31653,403,10634,451930,4987,
USA,State_B,43836,28732,26657,4611,4798,351040,15200,Yes
Italy,State_B,43837,11314,39952,2779,22420,63292,4697,No
Italy,State_B,43838,23954,22180,1387,51507,30055,16724,
Italy,State_A,43839,57108,78411,3453,55039,306035,3828,No
UK,State_D,43840,87044,1622,955,29300,82912,18352,Yes
Brazil,State_B,43841,87505,48756,1712,24345,138660,17087,No
Italy,State_D,43842,36668,40809,4703,10749,353680,12605,
Spain,State_C,43843,23061,16725,1273,38595,269448,5482,
UK,State_B,43844,79252,61396,3811,25121,8345,18184,No
USA,State_B,43845,39749,51226,2625,37487,161372,5463,Yes
Brazil,State_C,43846,16907,29402,2382,28411,418475,13860,No
Spain,State_B,43847,18777,4263,1441,33361,92006,4912,Yes
Spain,State_D,43848,93229,46828,2979,21223,482769,4648,No
USA,State_A,43849,51745,47924,1797,7394,409568,855,
Brazil,State_D,43850,91865,74182,4390,14056,130350,2866,Yes
UK,State_A,43851,81818,59052,4009,28380,165437,11834,Yes
India,State_A,43852,23624,11664,4850,26035,282590,16294,Yes
Brazil,State_D,43853,23321,35737,1394,30620,265480,16566,
USA,State_D,43854,10488,29373,4281,19877,325176,3112,No
Spain,State_D,43855,22574,36397,1269,59945,207487,4492,
UK,State_D,43856,5240,38709,4732,55316,98852,15114,Yes
Brazil,State_C,43857,43221,61120,3714,43404,493092,1517,No
India,State_B,43858,10478,19250,529,51824,139593,16018,
India,State_A,43859,55645,21172,3623,53352,203779,17740,Yes
Italy,State_D,43860,19262,11555,2958,30911,155553,11431,Yes
Italy,State_D,43861,52796,78617,2914,32784,281618,8210,
USA,State_D,43862,4432,53276,4889,3191,178832,11595,
Brazil,State_C,43863,95257,57492,3591,33160,318862,12871,
Brazil,State_D,43864,64291,53002,2147,25000,307773,12743,Yes
Spain,State_D,43865,79104,72355,4573,39040,46232,9324,
Spain,State_D,43866,59399,24762,3369,49723,349688,11531,Yes
Spain,State_B,43867,79714,11046,939,3631,461385,6588,
Italy,State_C,43868,50428,28769,525,6172,260013,3311,Yes
Brazil,State_D,43869,87731,53302,1,42080,313813,987,Yes
Brazil,State_A,43870,302,23150,374,23561,210093,3321,No
India,State_A,43871,82558,68247,2340,24817,332328,15812,
Italy,State_A,43872,55,4853,4005,20281,180017,4615,
UK,State_C,43873,8717,21792,3052,28671,14140,15512,Yes
Italy,State_C,43874,28699,59129,4648,57275,389612,13146,Yes
UK,State_A,43875,73686,74478,2365,51431,84457,13654,Yes
India,State_D,43876,67661,67298,1525,25364,15357,3052,No
USA,State_C,43877,44247,31987,4476,56603,112672,726,No
Brazil,State_A,43878,16748,15850,1646,41674,331817,3760,Yes
India,State_A,43879,4621,12112,13,27425,122673,1875,
Brazil,State_D,43880,15034,24058,4599,49927,66633,13969,
Spain,State_B,43881,5126,45420,2278,28602,209015,4033,No
USA,State_C,43882,5122,38890,3155,23253,97111,5443,No
USA,State_D,43883,18030,66017,129,51399,341402,17373,Yes
India,State_A,43884,82838,47304,3814,23472,407140,3744,
USA,State_A,43885,84717,32921,4933,49230,70286,16977,Yes
UK,State_D,43886,55658,1524,3216,8080,94269,1774,No
USA,State_C,43887,38638,15048,2938,7099,259635,10651,
Brazil,State_B,43888,67067,35111,3928,53078,75071,935,
Brazil,State_B,43889,88869,37904,2040,25431,451542,13395,No
Brazil,State_A,43890,34674,54912,27,56492,222095,3808,Yes
Brazil,State_C,43891,35854,34008,2113,31186,31651,16715,Yes
UK,State_B,43892,46271,60,1252,47684,71202,11641,
Italy,State_C,43893,73688,74666,4356,30111,49777,19086,No
Spain,State_C,43894,38518,55337,2046,39851,149066,14376,
India,State_A,43895,10267,13350,4555,22614,330407,5889,No
Brazil,State_B,43896,90825,24354,4023,26724,191706,5054,Yes
USA,State_D,43897,1062,45186,4396,41991,101158,3868,No
Brazil,State_A,43898,50448,28145,3374,4940,273944,16585,Yes
USA,State_B,43899,95462,34020,3466,52423,300967,18881,No
Spain,State_B,43900,6229,75186,3081,28758,240647,1842,
Spain,State_B,43901,56793,20581,3778,36224,327022,10058,Yes
Spain,State_B,43902,47915,23051,629,7788,281852,9101,
USA,State_B,43903,4632,51474,269,28082,144891,12497,
Brazil,State_C,43904,3596,69626,2639,57751,206977,4658,Yes
Spain,State_A,43905,6168,6960,1993,24034,64870,11381,Yes
UK,State_C,43906,7561,35772,2891,35479,10283,7544,
USA,State_D,43907,73794,21520,4957,11280,162645,7718,
USA,State_B,43908,82152,49481,3432,18052,341851,13851,
Brazil,State_A,43909,26734,36408,1280,16531,425149,17154,
USA,State_B,43910,6371,57134,2360,22804,6774,19539,Yes
USA,State_A,43911,26069,20491,575,28903,204127,11777,Yes
Spain,State_C,43912,79905,1341,1307,44857,143055,1628,
Brazil,State_A,43913,12910,44623,3192,10142,97468,386,No
Spain,State_D,43914,73479,338,3178,49517,359478,6031,No
Spain,State_D,43915,77735,71431,2734,48355,281277,6439,Yes
Brazil,State_A,43916,81264,12254,2212,9866,409155,13392,
India,State_A,43917,23275,51860,2352,4531,1781,18850,
Spain,State_A,43918,72274,11344,3568,45454,115586,2282,Yes
UK,State_A,43919,81449,1750,1655,38098,450916,1856,No
UK,State_D,43920,60004,54756,1579,38278,290768,15670,No
USA,State_B,43921,62981,67957,2203,59890,7823,1998,No
UK,State_A,43922,84659,58053,1390,57906,19489,5476,Yes
USA,State_A,43923,54553,70855,1742,28138,172033,9428,No
India,State_D,43924,48447,15896,1925,27065,292262,4669,Yes
Brazil,State_D,43925,34529,55761,619,29956,101417,12336,Yes
Brazil,State_C,43926,75703,62552,1274,41732,82816,9342,
Brazil,State_A,43927,76090,77454,956,39261,154335,7064,No
UK,State_C,43928,17260,27935,1939,59381,276709,7446,Yes
India,State_D,43929,3812,37641,3953,10759,152426,17815,No
UK,State_D,43930,28024,29711,2381,5439,175023,5624,No
UK,State_B,43931,58656,70342,968,47241,354323,7461,
India,State_A,43932,27285,12182,1316,42533,24648,1819,No
India,State_C,43933,92436,56276,1043,28270,444945,10516,
India,State_D,43934,1605,19541,281,13279,42971,13749,Yes
India,State_D,43935,71158,44813,2844,39279,19658,17514,No
Brazil,State_C,43936,72303,37198,1058,44251,22253,2658,Yes
Italy,State_B,43937,27139,8820,4293,23888,458382,3500,No
Italy,State_D,43938,77149,24070,2532,17630,180635,2120,Yes
India,State_A,43939,56138,69768,3828,52991,158462,4020,No
Italy,State_D,43940,76125,11122,1008,57703,351808,10213,No
Italy,State_A,43941,13918,73543,1229,35144,183650,3259,No
India,State_C,43942,85655,41786,1035,52161,211097,10081,No
Italy,State_A,43943,27446,6737,4585,31182,104850,1823,No
UK,State_C,43944,13046,36062,275,25538,426874,17858,No
USA,State_A,43945,24818,54237,2740,11824,138924,18626,No
USA,State_C,43946,4324,51571,2289,50979,227058,13467,No
India,State_A,43947,76323,25510,1239,32125,134623,19627,No
Brazil,State_B,43948,9111,19426,125,6979,335091,6990,Yes
India,State_A,43949,38110,37265,4065,26189,62001,3134,
Brazil,State_A,43950,16389,17850,4312,42600,181231,18454,No
USA,State_B,43951,41427,66150,3868,59560,123775,16743,
India,State_D,43952,79579,74910,1208,12504,445923,15434,No
Spain,State_D,43953,28746,52375,3249,57721,34243,15007,No
UK,State_A,43954,87886,35435,918,20669,153872,10233,Yes
Italy,State_B,43955,117,57132,3923,6910,339083,16378,Yes
Brazil,State_A,43956,84471,78945,4403,57713,320972,1141,
Spain,State_C,43957,13234,2983,1969,46857,262716,18019,Yes
Italy,State_C,43958,53441,20662,2793,34964,401455,10135,Yes
Italy,State_A,43959,846,23510,891,20131,269854,12966,
India,State_D,43960,10954,78187,4470,25227,415600,3361,Yes
Italy,State_D,43961,79239,40998,2033,5978,415254,7835,No
UK,State_A,43962,46514,56846,1364,21991,172918,11172,
Spain,State_A,43963,88236,6640,128,17153,220055,16390,
Italy,State_C,43964,97579,44547,1014,59765,462037,3267,No
India,State_D,43965,6469,54620,1799,33548,301135,6564,Yes
UK,State_A,43966,30105,15317,4612,42676,211129,18990,
USA,State_C,43967,42101,7564,1518,39071,401187,11411,
Spain,State_D,43968,64323,27345,4181,47454,423355,5906,No
Italy,State_B,43969,91922,79273,1198,3983,348589,16028,No
India,State_C,43970,58067,74859,3873,9503,209139,19657,Yes
USA,State_D,43971,49376,74038,2474,29921,81257,7611,
USA,State_D,43972,45587,52393,3485,57866,478958,17297,Yes
Brazil,State_C,43973,36976,66081,4049,16905,300855,2011,Yes
UK,State_B,43974,67584,29430,3719,45838,7530,17826,No
Italy,State_C,43975,78477,75532,302,59664,274260,11246,
India,State_D,43976,42533,27788,3952,58279,66794,13790,
Brazil,State_A,43977,1828,48543,4683,23953,394498,11738,
UK,State_A,43978,1917,13919,986,26806,211545,14730,No
Brazil,State_C,43979,20618,69346,1863,45000,133970,11120,No
Spain,State_D,43980,32254,39974,4440,22168,5135,18213,No
UK,State_A,43981,47362,16371,4909,4583,400845,8767,No
UK,State_D,43982,20128,45084,3072,38714,372616,13703,No
Italy,State_C,43983,59383,29629,3124,54093,388291,929,
UK,State_A,43984,65545,51184,1327,55419,479336,11951,Yes
Brazil,State_D,43985,82180,61916,2408,49145,251870,15845,
UK,State_A,43986,87958,73972,3673,39896,90087,17438,Yes
Italy,State_C,43987,9865,62187,3291,11889,197103,15747,No
Italy,State_D,43988,2219,12984,4033,27413,296524,5744,Yes
Spain,State_A,43989,39809,33039,703,12275,393095,18284,
Brazil,State_C,43990,5287,58606,574,2461,280215,9649,
USA,State_A,43991,34387,10616,3232,14291,21074,6980,Yes
USA,State_A,43992,8512,50072,4783,46804,222796,7069,No
UK,State_B,43993,1342,24574,2632,11435,68843,9591,No
Spain,State_B,43994,63076,3430,3828,27935,40901,19799,
India,State_C,43995,19216,12676,3230,33453,274349,442,Yes
UK,State_B,43996,93070,10816,488,18544,449877,4652,No
Spain,State_C,43997,79767,32733,1347,56183,387805,9370,No
Brazil,State_B,43998,97829,2050,3681,12258,269050,7597,
Brazil,State_A,43999,26614,33933,3173,30841,396807,14325,No
Brazil,State_C,44000,36258,24951,4589,58911,388720,4458,Yes
Brazil,State_C,44001,93789,32413,1667,54493,63987,6591,
Brazil,State_A,44002,42078,34801,1637,48758,457586,16346,
Spain,State_C,44003,83524,55619,4114,49190,343829,11826,Yes
Spain,State_C,44004,96573,32913,3553,10736,373598,18693,
Italy,State_B,44005,12219,40600,1000,37643,368631,14138,No
USA,State_C,44006,235,57775,850,50408,55400,17294,No
Brazil,State_D,44007,42929,35400,1388,43950,157222,2169,Yes
India,State_A,44008,67444,4494,3712,56849,32852,18556,No
Spain,State_B,44009,8567,74691,1367,34964,437086,6313,Yes
India,State_B,44010,70792,43001,821,28044,315900,8315,Yes
India,State_D,44011,65441,67364,454,39933,378501,8036,No
India,State_A,44012,84555,45028,1624,15997,120052,785,Yes
Italy,State_A,44013,73698,37573,2772,14215,57481,6139,No
Spain,State_B,44014,5415,806,3726,33069,264427,6344,
India,State_C,44015,36159,56638,3147,23911,34691,18800,
Brazil,State_B,44016,43925,29757,4089,55533,395341,14973,Yes
UK,State_A,44017,5951,34636,4806,17030,199137,5619,No
India,State_D,44018,87388,48280,2190,29334,27170,1936,No
Italy,State_B,44019,8007,24262,916,14571,9438,3807,
Spain,State_A,44020,41832,62211,3986,42719,283239,7151,
Italy,State_B,44021,58596,54842,2875,28927,148226,9493,No
India,State_C,44022,30523,56979,1440,57941,402220,12355,Yes
Spain,State_B,44023,88861,38197,4400,58005,272896,3236,
UK,State_B,44024,86740,41844,735,20714,56426,15848,Yes
India,State_A,44025,15524,64754,3568,58712,240968,2352,Yes
Italy,State_A,44026,19282,34157,3338,43541,289963,1932,
USA,State_A,44027,23930,77129,3015,23387,496384,10913,Yes
Brazil,State_B,44028,77,40042,2889,28444,355195,8556,Yes
Italy,State_C,44029,20611,61665,961,48908,156289,5498,No
Spain,State_D,44030,16984,27376,2989,19921,262501,10582,Yes
India,State_D,44031,14060,55554,3848,13057,220780,17330,No
Brazil,State_A,44032,82985,14199,1026,45268,296138,13865,
India,State_A,44033,84056,50948,3865,53710,147108,9569,
Spain,State_B,44034,43303,73781,2863,55731,209347,17823,No
India,State_D,44035,59207,72750,2501,24858,98756,4857,
USA,State_A,44036,75046,66262,1947,48689,443632,340,Yes
Brazil,State_C,44037,29287,46600,1177,44638,403803,11181,Yes
Brazil,State_C,44038,93709,76898,4760,26062,96665,16766,Yes
Spain,State_A,44039,39711,62483,11,36850,132717,8491,
USA,State_A,44040,11954,18297,4399,46486,163002,138,Yes
Italy,State_D,44041,73340,30448,3364,20567,262691,358,
India,State_D,44042,72101,26172,3022,29739,82835,9714,Yes
UK,State_B,44043,71520,42874,3371,57804,123232,19840,No
India,State_D,44044,87062,7657,2830,43285,424306,1627,
India,State_C,44045,18574,25425,42,3754,219561,15996,
Italy,State_C,44046,9184,26685,943,27044,446358,5004,Yes
India,State_A,44047,19096,24578,2390,1724,244051,13283,
USA,State_D,44048,67728,28831,2545,1376,158547,6652,
USA,State_B,44049,34016,7906,2411,8706,413104,19554,No
Brazil,State_C,44050,11246,61413,4986,8894,44732,2151,No
Spain,State_C,44051,45558,54028,1004,18037,213695,9429,Yes
UK,State_B,44052,18381,7287,20,18450,309449,14072,No
India,State_B,44053,36455,33660,406,16406,178109,11927,Yes
India,State_C,44054,92263,75758,1014,51612,10346,6905,Yes
Italy,State_C,44055,4018,60504,4431,29725,263731,19218,Yes
Spain,State_B,44056,11302,59720,1838,5926,13763,12452,
USA,State_C,44057,67506,34701,3188,39019,191237,16212,No
UK,State_A,44058,41157,17674,714,9496,239553,18951,Yes
Brazil,State_A,44059,54917,23874,4146,56447,332759,1307,No
USA,State_B,44060,92738,43642,3854,36068,430332,14852,Yes
Spain,State_D,44061,96646,65160,4419,29806,121987,2660,No
Brazil,State_B,44062,83122,17602,4884,22663,217823,10403,No
Italy,State_B,44063,24519,25931,140,41321,92353,10238,Yes
Italy,State_D,44064,96809,29192,4565,56505,222373,6207,
India,State_D,44065,87487,46542,4882,36495,358792,19546,No
Spain,State_D,44066,56819,42520,963,22656,26556,1140,
UK,State_A,44067,80910,64772,372,55147,322186,1708,
Brazil,State_C,44068,71324,58762,3635,25860,19099,3630,Yes
USA,State_A,44069,5408,50106,2541,49666,372233,19595,Yes
Spain,State_C,44070,59379,25559,3610,16832,177168,10485,Yes
Spain,State_A,44071,25053,33742,1692,38787,204058,12021,No
Italy,State_C,44072,9446,69669,105,48231,145302,16859,Yes
India,State_A,44073,922,21754,1681,21727,423225,7684,Yes
India,State_D,44074,98723,3972,4097,42815,203041,1207,No
Brazil,State_B,44075,51356,70831,4016,29545,34866,13331,No
Italy,State_A,44076,10789,41873,2636,57185,106400,1960,Yes
Spain,State_C,44077,97720,9903,2137,44522,347390,557,Yes
UK,State_D,44078,66656,3020,3416,2520,340119,15883,Yes
Italy,State_A,44079,44028,41755,4445,3081,436071,13893,Yes
Brazil,State_A,44080,64484,45648,3530,34196,344701,882,
Brazil,State_D,44081,32154,9516,1286,36735,138488,4761,
Italy,State_A,44082,82870,2396,3179,39213,73516,5867,Yes
Brazil,State_B,44083,2336,19129,3654,14566,187987,12869,
Italy,State_A,44084,67779,1591,2359,14042,412274,7166,No
USA,State_B,44085,19029,11303,444,25498,470853,12982,
Italy,State_B,44086,59201,30561,35,11329,434934,7929,
Italy,State_D,44087,32265,71719,1475,31656,295746,5347,Yes
Brazil,State_A,44088,43872,7314,3957,2159,468874,7269,
Brazil,State_D,44089,46197,19623,1798,37900,472328,13527,
India,State_A,44090,55180,67675,1845,51699,190139,2454,
India,State_A,44091,23710,65082,1408,19363,159588,18330,
USA,State_C,44092,29486,33130,1708,47701,130295,12991,No
India,State_A,44093,71907,51756,2938,43241,88969,2808,Yes
Italy,State_D,44094,71895,26292,1300,19033,133161,6642,Yes
Brazil,State_B,44095,64435,69274,1243,57657,431562,3825,No
India,State_A,44096,40631,2469,3976,10805,206735,3536,
India,State_C,44097,20103,53947,3097,35851,142559,15309,No
USA,State_D,44098,64772,22534,4616,26832,263299,3802,
Spain,State_A,44099,14382,63620,9,50189,124950,18354,No
USA,State_D,44100,84291,48874,2425,13944,330638,6142,Yes
